Complaint_ID,Category,Incident_Description,Amount_INR,Transaction_ID,Incident_Time
C001,Financial Fraud,"I received a call at about 10:18 AM from a person claiming to be from Meridian Cooperative Bank's card security desk. He said a suspicious card payment was pending and asked me to confirm a six-digit OTP. I read the OTP over the call. Within about five minutes, two unauthorized UPI transfers were made from my account to an unknown beneficiary. I did not initiate or approve either transfer.",38500.0,UPI-FX260818-10431,2026-08-18 10:18
C002,Financial Fraud,"On 16 August 2026 at 7:42 PM, I received a WhatsApp message from a person posing as a courier collection agent. He said I had to pay ₹29 to release a parcel and sent a payment request through a fictional wallet app called QuickMint. I entered my UPI PIN after accepting the request. Instead of ₹29, ₹18,750 was debited from my linked bank account. The payment was not authorized by me for that amount.",18750.0,QM-FX-160826-77104,2026-08-16 19:42
C003,Financial Fraud,"At approximately 2:05 PM on 15 August 2026, I received a video call from an unknown person who introduced himself as an officer from a digital payments company. He stated that my wallet account would be frozen unless I completed a verification transfer. I followed his instructions and transferred ₹12,600 through UPI. After the transfer, the person stopped responding and the wallet account showed no such verification requirement.",12600.0,UPI-FX150826-55290,2026-08-15 14:05
C004,Financial Fraud,"I was contacted by a person through Telegram who offered a refund for a cancelled online shopping order. The person sent a QR code and instructed me to scan it to receive the refund. I scanned the code and approved the UPI request, believing it was an incoming refund process. A total of ₹24,900 was instead debited from my account. The caller then deleted the Telegram conversation.",24900.0,UPI-FX140826-88317,2026-08-14 16:27
C005,Financial Fraud,"On 13 August 2026 at around 9:11 PM, I received an SMS saying that my electricity bill had failed and that a late fee would be charged. I called the number printed in the message. The person on the call asked me to install a fictional remote-assistance application named HelpDesk Assist and enter a verification code. Shortly afterward, ₹31,400 was transferred from my bank account through three unauthorized transactions.",31400.0,NET-FX130826-41962,2026-08-13 21:11
C006,Financial Fraud,"On 12 August 2026, I was contacted through a social media advertisement offering a part-time data-entry job. The person asked for a refundable registration amount of ₹1,500 and then repeatedly requested additional deposits for account activation and withdrawal processing. I made four payments totaling ₹22,300 through a fictional payment gateway called PayOrbit. After I requested a refund, the website became inaccessible.",22300.0,PO-FX120826-64018,2026-08-12 11:36
C007,Financial Fraud,"At 6:54 PM on 11 August 2026, I received a call stating that a credit-card reward worth ₹8,000 was about to expire. The caller asked for my card number and OTP to process the reward conversion. I shared the OTP because the caller knew the last four digits of my card. Within minutes, an unauthorized online card transaction of ₹46,200 appeared in my statement.",46200.0,CARD-FX110826-90325,2026-08-11 18:54
C008,Financial Fraud,"On 10 August 2026 at 8:23 AM, a person contacted me on a messaging application and claimed to be a buyer for an item I had listed on a fictional resale platform called ReSellHub. The person sent a QR code saying it was required to receive the sale amount. After scanning and entering my UPI PIN, ₹9,850 was deducted instead of being credited. The buyer subsequently blocked my number.",9850.0,UPI-FX100826-27541,2026-08-10 08:23
C009,Financial Fraud,"I received a call at 12:47 PM on 9 August 2026 from someone claiming to be an insurance renewal representative. He said my policy refund could only be processed after a small verification payment. I was instructed to send ₹2,400 first. After that, three additional debit requests appeared and ₹17,600 was ultimately withdrawn from my account. I did not authorize the additional transactions.",17600.0,UPI-FX090826-73166,2026-08-09 12:47
C010,Financial Fraud,"On 8 August 2026 at approximately 5:32 PM, I noticed that my fictional NeoRiver Bank mobile-banking application showed a new beneficiary that I had not added. Before I could disable it, ₹54,000 was transferred in two transactions. I had not shared my banking password or knowingly approved the beneficiary addition. The transaction alerts arrived after the money had already been transferred.",54000.0,NB-FX080826-11843,2026-08-08 17:32
C011,Phishing,"At 9:16 AM on 18 August 2026, I received an email claiming that my account on a fictional government-service portal called CitizenDesk required immediate KYC renewal. The email contained a link to citizendesk-verify.test and asked me to enter my username, password and OTP. I entered the details before noticing that the website address was different from the portal I normally use. I immediately changed my password after receiving a login alert from an unknown device.",,PHISH-FX180826-11027,2026-08-18 09:16
